Polar MLT image start and end times
2007-12-01/09:10    2007-12-01/20:22
2007-12-02/02:15    2007-12-02/03:08
2007-12-02/05:14    2007-12-02/11:39
2007-12-02/20:02    2007-12-02/23:57
2007-12-04/00:31    2007-12-04/01:18
2007-12-04/01:48    2007-12-04/04:24
2007-12-04/09:44    2007-12-04/21:25
2007-12-05/04:01    2007-12-05/08:35
2007-12-05/08:39    2007-12-05/16:32
2007-12-05/22:21    2007-12-05/23:32
2007-12-06/00:00    2007-12-06/04:00
2007-12-06/04:02    2007-12-06/11:56
2007-12-06/16:46    2007-12-06/23:58
2007-12-07/00:00    2007-12-07/03:02
2007-12-07/03:04    2007-12-07/04:07
2007-12-07/04:09    2007-12-07/06:33
2007-12-07/11:56    2007-12-07/23:25
2007-12-07/23:27    2007-12-07/23:57
2007-12-08/05:41    2007-12-08/17:52
2007-12-09/00:25    2007-12-09/02:48
2007-12-09/02:50    2007-12-09/03:33
2007-12-09/03:47    2007-12-09/13:35
2007-12-09/18:34    2007-12-09/23:57
2007-12-10/00:00    2007-12-10/03:04
2007-12-10/03:06    2007-12-10/06:23
2007-12-10/13:24    2007-12-10/20:44
2007-12-10/20:46    2007-12-10/23:58
2007-12-11/00:00    2007-12-11/02:06
2007-12-11/08:23    2007-12-11/20:52
2007-12-12/02:48    2007-12-12/03:54
2007-12-12/04:10    2007-12-12/15:46
2007-12-12/20:41    2007-12-12/23:13
2007-12-13/00:00    2007-12-13/01:52
2007-12-13/01:57    2007-12-13/06:28
2007-12-13/06:30    2007-12-13/07:08
2007-12-13/07:32    2007-12-13/10:50
2007-12-13/18:21    2007-12-13/19:22
2007-12-13/19:24    2007-12-13/23:57
2007-12-14/00:00    2007-12-14/04:48
2007-12-14/10:09    2007-12-14/13:08
2007-12-14/13:10    2007-12-14/16:25
2007-12-14/16:27    2007-12-14/22:27
2007-12-15/04:44    2007-12-15/17:19
2007-12-15/23:12    2007-12-15/23:57
2007-12-16/00:00    2007-12-16/04:38
2007-12-16/04:41    2007-12-16/08:49
2007-12-16/08:51    2007-12-16/12:33
2007-12-16/17:24    2007-12-16/23:58
2007-12-17/00:00    2007-12-17/05:43
2007-12-17/12:15    2007-12-17/13:28
2007-12-17/14:43    2007-12-17/23:58
