FAC start and end times
2007-11-14/08:51    2007-11-14/12:56
2007-11-14/13:03    2007-11-14/21:13
2007-11-15/02:31    2007-11-15/11:41
2007-11-15/11:49    2007-11-15/16:01
2007-11-15/21:02    2007-11-15/23:07
2007-11-16/08:03    2007-11-16/09:28
2007-11-16/10:31    2007-11-16/11:06
2007-11-16/15:49    2007-11-17/01:56
2007-11-17/02:14    2007-11-17/04:38
2007-11-17/11:23    2007-11-17/15:24
2007-11-17/16:18    2007-11-17/22:30
2007-11-18/07:33    2007-11-18/17:03
2007-11-19/00:18    2007-11-19/07:48
2007-11-19/08:01    2007-11-19/11:55
2007-11-20/03:39    2007-11-20/04:09
2007-11-20/12:35    2007-11-20/22:12
2007-11-21/08:58    2007-11-21/11:17
2007-11-21/11:30    2007-11-21/20:00
2007-11-22/01:08    2007-11-22/14:31
2007-11-24/00:00    2007-11-24/01:34
2007-11-24/02:03    2007-11-24/03:26
2007-11-24/10:19    2007-11-24/12:20
2007-11-24/12:41    2007-11-24/21:29
2007-11-25/05:03    2007-11-25/08:33
2007-11-25/08:54    2007-11-25/11:23
2007-11-25/11:36    2007-11-25/16:42
2007-11-26/03:15    2007-11-26/13:13
2007-11-26/16:34    2007-11-26/20:24
2007-11-27/11:13    2007-11-27/23:00
2007-11-28/07:53    2007-11-28/18:05
2007-11-29/01:12    2007-11-29/13:18
2007-11-30/04:37    2007-11-30/07:31
2007-11-30/13:14    2007-11-30/16:24
2007-11-30/16:34    2007-12-01/01:23
2007-12-01/07:14    2007-12-01/08:49
2007-12-01/09:10    2007-12-01/20:22
2007-12-02/02:15    2007-12-02/03:08
2007-12-02/05:14    2007-12-02/11:39
2007-12-02/20:02    2007-12-02/23:57
2007-12-04/00:31    2007-12-04/01:18
2007-12-04/01:48    2007-12-04/04:24
2007-12-04/09:44    2007-12-04/21:25
2007-12-05/04:01    2007-12-05/16:32
2007-12-05/22:21    2007-12-05/23:32
2007-12-06/00:00    2007-12-06/11:56
2007-12-07/11:56    2007-12-07/23:57
2007-12-08/05:41    2007-12-08/17:52
2007-12-09/00:25    2007-12-09/03:33
2007-12-09/03:47    2007-12-09/13:35
2007-12-10/13:24    2007-12-11/02:06
2007-12-11/08:23    2007-12-11/20:52
